Name,Nature,Confidence,Keywords,Description
Adamant,Adamant (4),4,"Powerful, Fierce, Relentless","An indomitable will that won't falter. Those with Adamant nature are belligerent and impassive. Only the strong survive in this world, that's why power and strength are what they respect the most. You are either their equal or you're inferior. Working as a team does not fit them well. They believe everyone must carry their own weight and those who can't will be left behind. They also lash out when they feel threatened and rarely care for social norms."
Bashful,Bashful (6),6, "Compassionate, Vulnerable, Family Oriented","There is an adorable shyness in them. They enjoy the simple things in life and are quite sensitive to other's emotions. They are very conscious about their own weaknesses and will try to make them better, but it hurts them to be pushed around and they may feel intimidated or disheartened if the challenges are too big. They need a strong figure who believes in them to feel confident but the fact that they are aware of their own weakness is a great advantage though."
Bold,Bold (9),9,"Adventurous, Confident, Daring","Real thrill seekers. The Bold view life with optimism and excitement, they firmly believe one must go forward no matter the consequences. They are easily provoked and quick to take action, often heading into challenges a lot bigger than themselves. Failure is something that hits them hard, but they are known for getting back on their feet again and charge for adventure one more time. There's no mountain big enough to stop them and they love to be the center of attention."
Brave,Brave (9),9,"Fearless, Level-headed, Protector","The Brave of heart will face any situation with courage and a cool head. They won't tolerate bullying or abuse anywhere near them and will always encourage others to conquer their fears. “Selfless” is their second name, as they will never turn their back on their comrades even at the cost of their own safety. Others look up to them as they inspire confidence and trust. They strive to conquer their fears and wish to inspire others to do the same. They keep it together when stress begins to escalate."
Calm,Calm (8),8,"Reasonable, Peaceful, Balanced","Peace and tranquility is the most important thing for those with a Calm nature. They are not noisy nor they want many thrills in their lives. Conflict is not welcome and they tend to be peacemakers. It is rare to see them fall for provocations as they keep their distance and composure when facing trouble. They dislike stress and overbearing attention, but their presence is pleasant and soothing."
Careful,Careful (5),5,"Analytic, Skeptical, Withdrawn","Those with this nature will often ponder their options according to the level of risk. If the benefit is substantial but the risk is too great they will prefer an option less rewarding but also less risky. They may take some time to warm up to strangers and will always be alert to their surroundings. Keeping a situation under control is important for them, not being in control makes them anxious and stressed. If things get out of hand they might run away to fight another day."
Docile,Docile (7),7,"Kind, Team worker, Service spirit","Always with a courteous disposition, a Docile nature indicates that you put others before yourself. Those under this nature love to please and be of assistance to their companions and community. They're not big achievers and might lack initiative, but even if only one person appreciates their efforts they will feel accomplished. They make great teammates and will be the first to ask: “How may I be of service?”"
Gentle,Gentle (10),10,"Graceful, Charismatic, Extroverts","A Gentle personality reflects on graceful conversations and pleasant social interactions. They enjoy doing things with care and refinement, and others come to them simply to revel in their sophisticated presence. They enjoy luxuries but can be quite demanding with their tastes. These natural socialites were born to be in the spotlight and they don't like to share it."
Hardy,Hardy (9),9,"Dependable, Resilient, Resourceful","Life has been tough, but they know how to face anything no matter how difficult. The word “disheartened” is not for them, they have a great tolerance for stress and frustration so they rarely get worked up. You'll rarely find them unprepared. They do their best to endure and overcome. Taking things lightly is difficult for them, but they are dependable. They'll help you get through the hardest of scenarios."
Hasty,Hasty (7),7,"Eager, Enthusiastic, Hustle","Energetic, spontaneous and a little impulsive. They live in the moment and don't have time to mop about past losses or worry about future battles. They are eager to see what comes next, moving from one thing to another. They rarely stress out because they make their lives on the go and rarely sit to relax or meditate things through. There will always be something to do with them around, let them improvise."
Impish,Impish (7),7,"Mischievous, Witty, Playful","Free spirits hungry for enjoyment and fun at the expense of others. They carry themselves with a light heart but you can also see a smug smirk on their faces. Playful, irreverent and agile of mind, they dislike routine and chores. They are the kind to circle around a problem as a head-on confrontation will stress them. They also want a little validation from others so they'll get attention as the pranksters of the group."
Jolly,Jolly (10),10,"Cheerful, Charming, Energetic","They love to spread happiness around and will always have a smile to give you. They rarely feel gloomy and dislike when others do. They easily form close friendships as others enjoy their good mood and affable disposition. They know the power to move a mountain lies in an enthusiastic demeanor and positive thoughts; regardless of the hard times their cheerful smile will brighten your day."
Lax,Lax (8),8,"Unconcerned, Indolent, Simple","Lax is an inconstant nature, those under it will do things whenever they feel like it.   Is not that they are lazy, they just don't see the need to waste energy on stuff that's not important for them yet. Since they don't care to fill anyone's expectations they rarely stress out about social norms, but they'll need a reason to keep motivated and an even better reason to be pro-active instead of indifferent."
Lonely,Lonely (5),5,"Independent, Introspective, Solitary","They like to keep their distance and do everything on their own. They often feel it's up to them and nobody else to get things done and will take the burden of a responsibility that should be shared. Interacting with others is like a chore for them but being isolate also makes them feel misunderstood. They are hard to get close to but they can be trusted to do their best even if there's no one to guide them."
Mild,Mild (8),8,"Meek, Serene, Comforting","'Harmless' is the word that best describes a Mild nature. They are patient and calm with others, reliable and caring on every matter. Because of this, others seek their company as stability ground. They seek to understand others and have a natural talent to do it. They tend to keep their needs to themselves and sometimes stay in the background, but they are the ones to turn when you need someone to listen."
Modest,Modest (10),10,"Measured, Self-Assured, Hard Worker","When you are aware of your potential you don't need others to praise you for it. A modest nature knows the reward is the constant improvement of their abilities, not the acknowledging of others. They won't show off nor will they feel diminished when others display better capabilities. They'll do their best always and the only one who may judge the right or wrong of their ways is themselves."
Naive,Naive (7),7,"Curious, Lighthearted, Innocent","The world is full of wonder; there is always something new to discover and many others to befriend. A Naive nature is a curious and innocent nature, they easily trust others because they ignore the many dan- gers of the world. They still have a lot to learn but they take life as it comes. They rarely stress out due to the fact they still don't know there are many things to stress about. A friend's smile and a hand to take it's all they need."
Naughty,Naughty (6),6,"Devious, Rebel, Sly","Why should they listen to you? You are not their boss! Most of the time they'll deliberately do the opposite from what's expected from them. Why? Because they can, of course. They love to see others get mad and will use their clever mind and cunning to get away with their misdeeds. When they stress they put a cool facade, don't let that fool you. They need to be coaxed or put in their place to behave properly."
Quiet,Quiet (5),5,"Silent, Reserved, Espectator","Life is what happens around those with a Quiet nature. They often take a passive stance over the circumstances around them. Strong thoughts or opinions they have will rarely be expressed, so they are not the greatest at social interactions. They may be afraid to make a mistake or consider it a hassle to take action. When they manage to get the attention of others they rarely know what to do with themselves."
Quirky,Quirky (9),9,"Unusual, Open-Minded, Original","You can't really understand how their mind works. Those who have a Quirky nature will usually see the world in a unique way that only they seem to comprehend. The way they act will be peculiar and often attract puzzled looks, they know they are oddballs and are fine with it, but they might get stressed by the strangest of things. The way they see the world is so unique that they accept new things easily."
Rash,Rash (6),6,"Reckless, Unrefined, Daredevil","They are reckless, and exposing themselves to danger is their idea of fun. Blunt and direct in the way they act with others, you are either their friend or you are their enemy. They are known for rushing into action with a “hit first, ask later” mentality. They are also famous for their quick-temper, loud-mouth, and foolhardy deeds, so don't expect them to keep their cool when stress starts to elevate."
Relaxed,Relaxed (8),8,"Carefree, Meditative, Nonchalant","The problems of the world are not their problems. A Relaxed nature will allow its bearer to take it easy and never lose their cool. They will never stress over trivial matters and won't instigate trouble. Should disputes arise, they will invite others to calm down through breathing and meditation, they go with the flow, never against it. Some may call them carefree, they will call themselves enlightened."
Sassy,Sassy (7),7,"Lively, Irreverent, Mouthy","They have an attitude, and those who take themselves too seriously may dislike it, but the Sassy natured are simply not afraid to voice their honest opinion and will always find ways to speak their mind and it's always brutally honest, so be ready for some burns. There are no middle grounds with them, they either love or hate something so they can be infuriatingly difficult or surprisingly easy to deal with, that is part of their charm."
Serious,Serious (4),4,"Steadfast, Rigid, Commited","They have a big sense of responsibility and won't appreciate when others don't take things seriously. Stress is a constant in their lives, if they have a duty to fulfill they will not stop until it's finished, everything else is a useless distraction once they have a task. They might need a hand since have a hard time relaxing but if you want things done well they are the ones to look for."
Timid,Timid (4),4,"Shy, Apprehensive, Sensible","They have built walls around themselves that make it hard for others to see what's inside. They just want to be accepted but tend to worry too much and be way too harsh on themselves. Their confidence is usually placed on a leader figure and this makes them eager to please but also terrified to fail. They need to learn to trust in their own capabilities to reach their full potential."
